0,5,"Fantastic seller, would definitely buy again. Outstanding service! Highly recommend.",2021-03-22 10:24:10
1,1,Utterly disappointing from start to finish. Worst product I've ever purchased.,2024-10-05 22:27:28
2,5,"Best decision ever, will definitely return. Couldn't be happier with the product.",2021-03-18 08:16:34
3,1,"Worst seller experience I've ever had. Terrible service, would not recommend.",2021-06-01 13:18:51
4,2,"Subpar seller, wouldn’t recommend. Poor communication and follow-through.",2020-07-21 06:14:00
5,1,"Completely unacceptable, avoid this seller. Terrible service, would not recommend.",2022-02-04 22:34:06
6,2,"Several issues, not worth the hassle. Poor communication and follow-through.",2022-11-15 11:00:36
7,2,"Poor communication and follow-through. Several issues, not worth the hassle.",2023-11-27 11:40:35
8,1,"Completely unacceptable, avoid this seller. Horrible communication and service.",2022-12-24 19:26:56
9,5,Went above and beyond to ensure satisfaction. Couldn’t ask for better service.,2023-07-30 14:51:48
10,4,"Good seller, just a few minor issues. Great value and communication, room for improvement.",2023-11-30 05:59:45
11,5,"Very professional and reliable seller. Fantastic seller, would definitely buy again.",2022-08-01 23:59:44
12,5,Exceeded expectations in every way. Absolutely loved it! Highly recommend.,2024-07-26 06:53:36
13,2,"Below average, needs significant improvement. Disappointing, expected much more.",2020-04-21 01:13:55
14,2,"Several issues, not worth the cost. Disappointing, expected much more.",2023-12-14 22:25:05
15,2,"Below average, needs significant improvement. Disappointing service, expected better.",2022-08-06 14:05:19
16,3,"Neutral experience, not overly impressed. Decent, but could have been better.",2021-11-04 05:23:31
17,1,Horrible communication and service. Utterly disappointing from start to finish.,2024-01-13 21:04:29
18,1,Horrible communication and service. Worst seller experience I've ever had.,2022-12-05 04:49:51
19,2,"Poor communication and follow-through. Below average, needs significant improvement.",2024-11-05 06:21:07
20,1,"Terrible, would not recommend to anyone. Utterly disappointing from start to finish.",2023-07-01 23:25:37
21,5,Absolutely loved it! Highly recommend. Couldn't be happier with the product.,2020-11-08 20:25:51
22,4,"Great value for the price. Very good, only a few minor issues.",2021-07-28 21:58:18
23,5,"Best decision ever, will definitely return. Absolutely loved it! Highly recommend.",2020-06-02 10:22:26
24,1,Utterly disappointing from start to finish. Worst seller experience I've ever had.,2021-05-11 02:38:24
25,4,Impressive quality and features. Great value for the price.,2023-02-17 21:34:02
26,5,"Went above and beyond to ensure satisfaction. Fantastic seller, would definitely buy again.",2024-07-01 19:14:42
27,1,"Terrible, would not recommend to anyone. Utterly disappointing from start to finish.",2022-06-14 16:38:28
28,3,"Decent, but could have been better. Average experience, nothing special.",2024-02-03 10:25:13
29,2,"Disappointing service, expected better. Poor communication and follow-through.",2023-06-29 13:29:19
30,1,"Worst product I've ever purchased. Completely unacceptable, avoid at all costs.",2022-05-04 02:18:10
31,5,"Very professional and reliable seller. Fantastic seller, would definitely buy again.",2021-10-02 01:07:15
32,1,"Completely unacceptable, avoid at all costs. Terrible, would not recommend to anyone.",2021-01-06 21:35:29
33,5,Very professional and reliable seller. Outstanding service! Highly recommend.,2022-10-07 03:41:38
34,1,Horrible quality and performance. Utterly disappointing from start to finish.,2020-07-11 23:41:16
35,5,Went above and beyond to ensure satisfaction. Outstanding service! Highly recommend.,2022-05-26 01:29:51
36,4,"Good seller, just a few minor issues. Great value and communication, room for improvement.",2020-06-04 04:26:52
37,4,"Responsive and helpful, overall great experience. Good seller, just a few minor issues.",2022-01-26 06:20:04
38,1,"Completely unacceptable, avoid at all costs. Horrible quality and performance.",2023-10-24 12:28:00
39,3,"Average experience, nothing special. Neutral experience, not overly impressed.",2021-10-03 16:17:38
40,1,"Horrible quality and performance. Terrible, would not recommend to anyone.",2023-11-07 10:07:44
41,1,"Worst seller experience I've ever had. Terrible service, would not recommend.",2023-02-14 19:14:02
42,3,"Average experience, some positives and negatives. Okay service, met basic expectations.",2022-08-17 12:02:30
43,1,"Completely unacceptable, avoid this seller. Worst seller experience I've ever had.",2020-10-23 03:33:29
44,2,"Several issues, not worth the hassle. Subpar seller, wouldn’t recommend.",2024-10-18 21:17:02
45,4,"Solid product, but room for improvement. Great value for the price.",2020-05-02 16:33:21
46,2,"Disappointing, expected much more. Poor product quality, won't buy again.",2020-12-26 05:18:13
47,5,Couldn’t ask for better service. Outstanding service! Highly recommend.,2020-11-16 14:33:45
48,5,Very professional and reliable seller. Went above and beyond to ensure satisfaction.,2024-08-06 22:35:12
49,3,"Okay service, met basic expectations. Decent seller, but could improve.",2021-06-06 00:55:30
50,2,"Below average, needs significant improvement. Several issues, not worth the cost.",2024-08-12 09:02:22
51,2,"Poor communication and follow-through. Subpar seller, wouldn’t recommend.",2024-07-24 08:25:51
52,3,"Decent seller, but could improve. Neutral experience, neither bad nor outstanding.",2023-08-11 12:43:28
53,1,"Completely unacceptable, avoid at all costs. Horrible quality and performance.",2020-01-24 23:19:48
54,2,"Disappointing, expected much more. Several issues, not worth the cost.",2020-01-18 04:12:55
55,1,Worst product I've ever purchased. Utterly disappointing from start to finish.,2020-03-27 01:35:28
56,2,"Several issues, not worth the cost. Subpar, wouldn't recommend.",2023-08-03 01:24:27
57,1,Utterly disappointing from start to finish. Horrible quality and performance.,2022-10-21 17:40:22
58,5,"Best decision ever, will definitely return. Fantastic experience; everything was perfect.",2020-08-22 04:10:46
59,3,"It was okay, met basic expectations. Neutral experience, not overly impressed.",2022-11-16 12:15:56
60,5,Absolutely loved it! Highly recommend. Exceeded expectations in every way.,2022-02-02 19:50:41
61,2,"Below average, needs significant improvement. Subpar, wouldn't recommend.",2023-06-01 16:38:15
62,4,"Responsive and helpful, overall great experience. Would recommend this seller with slight reservations.",2022-05-23 15:13:32
63,4,"Solid product, but room for improvement. Very good, only a few minor issues.",2022-06-21 02:15:32
64,5,"Best decision ever, will definitely return. Exceeded expectations in every way.",2022-09-28 17:29:17
65,2,"Below average, needs significant improvement. Disappointing, expected much more.",2022-12-30 00:33:47
66,4,"Great value and communication, room for improvement. Very good service, would buy again.",2021-03-17 07:21:44
67,5,"Outstanding service! Highly recommend. Fantastic seller, would definitely buy again.",2021-08-19 09:05:48
68,1,Horrible quality and performance. Worst product I've ever purchased.,2020-03-20 01:51:41
69,1,"Terrible service, would not recommend. Horrible communication and service.",2020-08-24 23:01:56
70,2,"Disappointing service, expected better. Poor communication and follow-through.",2024-01-31 16:15:50
71,1,"Completely unacceptable, avoid this seller. Worst seller experience I've ever had.",2022-02-12 04:17:08
72,1,"Horrible quality and performance. Completely unacceptable, avoid at all costs.",2021-02-05 01:32:41
73,2,"Poor product quality, won't buy again. Below average, needs significant improvement.",2022-08-06 12:43:25
74,3,"Decent seller, but could improve. Neutral experience, neither bad nor outstanding.",2023-05-14 13:18:07
75,1,"Terrible service, would not recommend. Horrible communication and service.",2020-03-16 13:38:39
76,2,"Poor product quality, won't buy again. Subpar, wouldn't recommend.",2022-04-30 21:06:15
77,3,"Fine overall, but not exceptional. Neutral experience, neither bad nor outstanding.",2021-04-16 11:23:17
78,2,"Poor product quality, won't buy again. Several issues, not worth the cost.",2021-06-04 23:03:10
79,5,Couldn’t ask for better service. Very professional and reliable seller.,2021-08-02 12:21:16
80,4,"Responsive and helpful, overall great experience. Would recommend this seller with slight reservations.",2021-01-03 00:37:55
81,2,"Disappointing, expected much more. Subpar, wouldn't recommend.",2023-06-27 00:44:26
82,2,"Subpar seller, wouldn’t recommend. Poor communication and follow-through.",2022-05-17 17:23:41
83,4,"Very good, only a few minor issues. Solid product, but room for improvement.",2021-09-29 20:52:34
84,3,"Decent, but could have been better. Average experience, nothing special.",2024-06-09 16:38:27
85,3,"Okay service, met basic expectations. Average experience, some positives and negatives.",2020-02-14 22:55:35
86,3,"Decent, but could have been better. It was okay, met basic expectations.",2023-06-14 08:39:24
87,5,Couldn't be happier with the product. Fantastic experience; everything was perfect.,2024-01-23 14:36:23
88,2,"Disappointing service, expected better. Poor communication and follow-through.",2023-12-29 01:10:30
89,1,"Terrible, would not recommend to anyone. Completely unacceptable, avoid at all costs.",2022-08-03 10:56:26
90,3,"Decent seller, but could improve. Okay service, met basic expectations.",2021-06-21 23:58:17
91,2,"Disappointing, expected much more. Subpar, wouldn't recommend.",2024-06-19 22:11:54
92,5,Absolutely loved it! Highly recommend. Exceeded expectations in every way.,2020-02-26 16:37:16
93,5,"Best decision ever, will definitely return. Couldn't be happier with the product.",2021-12-06 12:12:46
94,2,"Poor product quality, won't buy again. Subpar, wouldn't recommend.",2021-05-01 01:06:33
95,5,"Couldn't be happier with the product. Best decision ever, will definitely return.",2021-11-15 10:15:33
96,3,"Decent seller, but could improve. Neutral experience, neither bad nor outstanding.",2023-02-27 06:24:08
97,1,Horrible quality and performance. Worst product I've ever purchased.,2020-01-05 02:33:29
98,3,"Okay service, met basic expectations. Decent seller, but could improve.",2023-09-06 21:34:44
99,3,"It was okay, met basic expectations. Average experience, nothing special.",2020-08-24 02:54:28
100,1,"Terrible service, would not recommend. Completely unacceptable, avoid this seller.",2021-10-05 18:21:15
101,2,"Several issues, not worth the hassle. Poor communication and follow-through.",2023-12-20 04:25:53
102,4,"Responsive and helpful, overall great experience. Would recommend this seller with slight reservations.",2022-12-27 05:47:10
103,4,"Great value and communication, room for improvement. Good seller, just a few minor issues.",2023-05-08 03:23:37
104,3,"Decent seller, but could improve. Average experience, some positives and negatives.",2022-05-26 19:39:09
105,4,Would recommend with slight reservations. Impressive quality and features.,2022-07-31 15:02:32
106,2,"Disappointing service, expected better. Several issues, not worth the hassle.",2022-09-28 13:03:57
107,1,"Completely unacceptable, avoid at all costs. Horrible quality and performance.",2020-12-12 22:17:12
108,5,Outstanding service! Highly recommend. Very professional and reliable seller.,2022-06-08 12:14:39
109,2,"Below average, needs significant improvement. Several issues, not worth the hassle.",2023-01-22 16:12:38
110,4,"Would recommend this seller with slight reservations. Very good service, would buy again.",2024-07-03 18:41:20
111,2,"Poor product quality, won't buy again. Disappointing, expected much more.",2020-11-03 04:09:39
112,4,"Very good, only a few minor issues. Would recommend with slight reservations.",2023-03-24 11:41:14
113,4,"Very good service, would buy again. Good seller, just a few minor issues.",2023-04-15 10:35:46
114,1,"Terrible service, would not recommend. Horrible communication and service.",2020-09-26 16:22:21
